borrower_id,loan_amount,credit_score,annual_income,dti_ratio,employment_length_years,num_existing_loans,account_age_months,declared_purpose,primary_mcc_category,secondary_mcc_category,mcc_mismatch_flag,days_to_first_tx,pct_spent_48h,pct_spent_7d,cash_withdrawal_ratio,high_risk_spend_ratio,international_tx_ratio,nighttime_tx_ratio,num_unique_merchants,num_total_transactions,avg_tx_amount,max_single_tx_pct,is_flagged_misuse
BW-01146,88469.85,624,92839.38,0.517,8,6,40,Business Expansion,ATM Cash,Casino,0,25,0.234,0.253,0.794,0.034,0.236,0.348,25,29,2949.0,0.894,0
BW-01147,80755.47,848,107184.27,0.536,10,6,23,Debt Consolidation,Retail,Luxury Travel,0,23,0.963,1.0,0.309,0.102,0.498,0.435,27,32,2447.14,0.871,0
BW-01148,67552.92,699,136344.64,0.439,20,4,99,Equipment Purchase,Retail,Retail,0,18,0.652,0.988,0.372,0.029,0.079,0.17,12,17,3752.94,0.232,0
BW-01149,85805.26,697,165915.14,0.642,14,4,55,Medical,Casino,Casino,0,22,0.297,0.556,0.644,0.487,0.354,0.441,24,40,2092.81,0.799,1
BW-01150,87392.95,557,50660.11,0.452,2,4,63,Education,Equipment Vendor,Casino,0,2,0.93,1.0,0.463,0.04,0.326,0.11,27,34,2496.94,0.697,0
BW-01151,72294.48,578,38152.21,0.573,15,6,71,Debt Consolidation,ATM Cash,Casino,0,21,0.741,1.0,0.03,0.059,0.436,0.203,4,22,3143.24,0.929,0
BW-01152,84516.27,845,32779.69,0.62,20,1,42,Medical,Crypto Exchange,Casino,0,17,0.285,0.457,0.674,0.679,0.046,0.447,29,48,1724.82,0.494,0
BW-01153,71259.79,758,51543.21,0.611,20,7,99,Education,Retail,Luxury Travel,0,5,0.379,0.416,0.041,0.097,0.14,0.396,24,36,1925.94,0.714,0
BW-01154,69613.37,677,128692.42,0.31,20,6,66,Medical,Equipment Vendor,ATM Cash,0,5,0.199,0.584,0.137,0.015,0.066,0.162,17,31,2175.42,0.54,0
BW-01155,63768.08,665,139121.56,0.143,11,5,79,Debt Consolidation,Luxury Travel,Equipment Vendor,0,23,0.971,1.0,0.082,0.072,0.467,0.073,28,44,1417.07,0.159,0
BW-01156,76508.08,693,147975.86,0.195,22,6,73,Business Expansion,ATM Cash,Casino,0,4,0.517,0.783,0.062,0.05,0.213,0.025,24,40,1866.05,0.14,0
BW-01157,20067.49,784,66556.23,0.133,4,5,47,Business Expansion,Casino,Casino,0,29,0.896,1.0,0.021,0.527,0.455,0.503,26,27,716.7,0.204,0
BW-01158,88682.72,556,75884.22,0.158,6,6,81,Education,Retail,Retail,0,0,0.346,0.368,0.044,0.011,0.147,0.045,18,20,4222.99,0.352,0
BW-01159,87825.14,594,102470.2,0.202,8,6,103,Business Expansion,Retail,Crypto Exchange,0,7,0.861,1.0,0.354,0.124,0.063,0.069,22,30,2833.07,0.32,0
BW-01160,7778.49,788,39477.46,0.288,20,1,52,Debt Consolidation,Crypto Exchange,Luxury Travel,0,27,0.054,0.371,0.202,0.81,0.148,0.143,6,11,648.21,0.719,1
BW-01161,83452.59,704,121671.23,0.399,17,5,18,Education,Retail,Casino,0,24,0.982,1.0,0.101,0.013,0.299,0.267,19,19,4172.63,0.709,0
BW-01162,17242.64,730,177560.26,0.491,20,1,79,Medical,ATM Cash,Equipment Vendor,0,0,0.912,1.0,0.527,0.03,0.423,0.474,29,47,359.22,0.926,0
BW-01163,36836.29,764,84120.95,0.216,7,5,18,Equipment Purchase,Equipment Vendor,Equipment Vendor,0,20,0.363,0.658,0.181,0.015,0.193,0.148,5,8,4092.92,0.364,0
BW-01164,75633.28,637,142927.12,0.47,11,1,24,Medical,Equipment Vendor,Equipment Vendor,0,27,0.775,0.964,0.015,0.078,0.457,0.326,2,14,5042.22,0.898,0
BW-01165,20272.19,805,105005.09,0.487,19,1,23,Debt Consolidation,Equipment Vendor,Retail,0,5,0.752,0.997,0.335,0.148,0.122,0.054,11,30,653.94,0.621,0
BW-01166,82706.87,622,49171.78,0.407,1,5,12,Education,Luxury Travel,Equipment Vendor,0,19,0.901,0.944,0.248,0.005,0.347,0.279,24,31,2584.59,0.521,0
BW-01167,84052.75,728,117335.62,0.597,9,1,23,Medical,Luxury Travel,ATM Cash,0,13,0.307,0.531,0.255,0.069,0.368,0.107,24,28,2898.37,0.668,0
BW-01168,53209.43,761,74981.14,0.161,18,6,21,Education,Retail,Retail,0,10,0.466,0.495,0.356,0.058,0.137,0.127,13,22,2313.45,0.697,0
BW-01169,5606.66,842,35160.48,0.197,8,5,64,Business Expansion,Luxury Travel,Luxury Travel,0,1,0.865,1.0,0.535,0.051,0.013,0.22,5,24,224.27,0.246,0
BW-01170,32268.62,783,125239.46,0.336,24,1,90,Equipment Purchase,Luxury Travel,Equipment Vendor,1,20,0.779,1.0,0.493,0.05,0.183,0.457,23,41,768.3,0.739,1
BW-01171,63608.06,788,158839.85,0.17,23,6,72,Debt Consolidation,Crypto Exchange,Crypto Exchange,0,29,0.393,0.743,0.75,0.975,0.023,0.446,8,19,3180.4,0.716,1
BW-01172,98212.69,772,81715.47,0.411,7,6,94,Medical,Luxury Travel,Casino,0,29,0.846,1.0,0.414,0.003,0.45,0.249,11,11,8184.39,0.948,0
BW-01173,65022.29,668,88544.33,0.319,23,4,34,Equipment Purchase,Casino,Luxury Travel,1,3,0.047,0.147,0.378,0.996,0.477,0.071,4,12,5001.71,0.875,1
BW-01174,29681.34,813,163653.25,0.257,23,0,2,Debt Consolidation,Casino,ATM Cash,0,12,0.782,1.0,0.171,0.65,0.368,0.168,18,33,872.98,0.682,0
BW-01175,65230.54,756,152041.32,0.193,23,5,69,Debt Consolidation,Casino,Crypto Exchange,0,6,0.207,0.436,0.604,0.428,0.363,0.303,15,31,2038.45,0.706,0
BW-01176,56298.61,644,137242.92,0.284,0,1,31,Business Expansion,Retail,Luxury Travel,0,5,0.286,0.529,0.113,0.063,0.12,0.522,5,22,2447.77,0.904,0
BW-01177,79085.31,771,67319.56,0.434,5,4,97,Education,Equipment Vendor,ATM Cash,0,2,0.493,0.561,0.393,0.046,0.037,0.581,23,36,2137.44,0.922,0
BW-01178,15163.16,825,166532.5,0.417,11,0,118,Education,Crypto Exchange,Equipment Vendor,0,8,0.45,0.793,0.337,0.481,0.401,0.382,12,28,522.87,0.803,0
BW-01179,77297.65,780,53162.36,0.19,24,7,68,Equipment Purchase,Retail,Luxury Travel,0,13,0.521,0.893,0.527,0.017,0.28,0.21,4,4,15459.53,0.752,0
BW-01180,56420.32,668,124015.58,0.169,23,7,70,Business Expansion,Equipment Vendor,Luxury Travel,0,19,0.545,0.855,0.734,0.045,0.341,0.416,4,18,2969.49,0.195,0
BW-01181,96484.24,817,34320.18,0.115,18,1,87,Debt Consolidation,Crypto Exchange,Luxury Travel,0,10,0.332,0.708,0.757,0.685,0.39,0.202,20,38,2473.95,0.806,0
BW-01182,37477.86,822,126557.97,0.107,16,7,109,Business Expansion,Crypto Exchange,Retail,0,4,0.175,0.296,0.134,0.525,0.205,0.375,9,10,3407.08,0.315,0
BW-01183,65099.08,613,71571.65,0.584,1,0,19,Business Expansion,Crypto Exchange,Crypto Exchange,0,13,0.768,1.0,0.209,0.455,0.072,0.146,9,22,2830.39,0.579,0
BW-01184,93542.67,847,97451.55,0.125,10,5,107,Equipment Purchase,Casino,ATM Cash,1,18,0.4,0.596,0.649,0.647,0.398,0.16,14,15,5846.42,0.445,1
BW-01185,14738.42,560,81789.68,0.502,17,6,109,Education,Casino,Equipment Vendor,0,7,0.506,0.572,0.415,0.611,0.227,0.045,27,41,350.91,0.394,0
BW-01186,94036.71,647,55913.51,0.58,22,6,72,Business Expansion,Casino,Casino,0,26,0.645,0.913,0.362,0.723,0.413,0.252,26,26,3482.84,0.364,0
BW-01187,70349.14,620,123297.12,0.154,21,0,103,Business Expansion,Crypto Exchange,Equipment Vendor,0,6,0.91,1.0,0.569,0.849,0.219,0.371,24,24,2813.97,0.827,1
BW-01188,11444.52,607,162296.33,0.34,10,7,13,Business Expansion,ATM Cash,Equipment Vendor,0,26,0.708,0.823,0.482,0.148,0.109,0.473,27,38,293.45,0.754,0
BW-01189,33591.54,839,173862.64,0.629,17,6,65,Medical,Crypto Exchange,Retail,0,26,0.045,0.056,0.777,0.875,0.086,0.486,8,22,1460.5,0.545,0
BW-01190,72276.35,800,58851.95,0.559,7,7,6,Business Expansion,Casino,Retail,0,6,0.839,0.919,0.467,0.416,0.372,0.595,23,40,1762.84,0.665,0
BW-01191,11398.31,825,137605.92,0.369,14,2,71,Business Expansion,Crypto Exchange,Luxury Travel,0,23,0.989,1.0,0.373,0.666,0.287,0.053,1,15,712.39,0.937,1
BW-01192,60306.19,599,129650.9,0.519,8,3,112,Debt Consolidation,Casino,Equipment Vendor,0,22,0.472,0.539,0.434,0.752,0.202,0.296,24,30,1945.36,0.438,0
BW-01193,37858.89,765,81506.67,0.558,14,6,27,Medical,Casino,Crypto Exchange,0,2,0.97,1.0,0.647,0.974,0.246,0.313,11,22,1646.04,0.568,1
BW-01194,63986.97,601,32864.88,0.291,6,2,79,Business Expansion,Casino,Retail,0,2,0.547,0.704,0.49,0.744,0.275,0.483,27,36,1729.38,0.553,0
BW-01195,9345.49,820,133468.69,0.591,19,5,52,Business Expansion,ATM Cash,ATM Cash,0,17,0.46,0.845,0.518,0.124,0.12,0.16,4,5,1557.58,0.896,0
BW-01196,87796.0,633,171824.23,0.359,12,5,98,Equipment Purchase,Equipment Vendor,Retail,0,12,0.331,0.637,0.777,0.146,0.189,0.042,29,30,2832.13,0.399,0
BW-01197,97481.45,842,124818.02,0.39,12,0,87,Equipment Purchase,Crypto Exchange,Crypto Exchange,1,0,0.658,0.786,0.495,0.637,0.146,0.188,17,22,4238.32,0.938,1
BW-01198,97043.4,675,95293.91,0.65,0,6,48,Medical,Retail,Retail,0,4,0.23,0.611,0.304,0.015,0.194,0.59,17,36,2622.79,0.359,0
BW-01199,76216.92,845,108773.08,0.564,19,7,113,Debt Consolidation,Casino,Crypto Exchange,0,27,0.105,0.363,0.553,0.518,0.25,0.54,19,24,3048.68,0.193,0
BW-01200,17358.19,621,59944.32,0.299,3,6,88,Medical,ATM Cash,Casino,0,3,0.027,0.209,0.528,0.057,0.087,0.237,13,22,754.7,0.263,0
BW-01201,77035.0,845,142581.62,0.106,23,7,79,Medical,Retail,Crypto Exchange,0,15,0.292,0.479,0.011,0.029,0.197,0.526,19,21,3501.59,0.462,0
BW-01202,7335.76,785,141962.97,0.444,3,7,99,Equipment Purchase,Equipment Vendor,Casino,0,14,0.396,0.56,0.374,0.072,0.193,0.02,26,41,174.66,0.652,0
BW-01203,7101.74,605,51827.6,0.487,3,6,68,Equipment Purchase,Crypto Exchange,ATM Cash,1,28,0.552,0.645,0.594,0.756,0.143,0.189,17,21,322.81,0.539,1
BW-01204,35742.97,659,161696.76,0.458,12,7,44,Debt Consolidation,ATM Cash,Luxury Travel,0,26,0.293,0.448,0.399,0.026,0.499,0.436,24,28,1232.52,0.42,0
BW-01205,51421.1,741,70378.46,0.632,1,4,101,Business Expansion,Casino,Luxury Travel,0,17,0.984,1.0,0.624,0.934,0.037,0.133,20,29,1714.04,0.578,1
BW-01206,78188.7,642,177338.41,0.575,22,1,17,Debt Consolidation,Casino,Retail,0,16,0.292,0.503,0.361,0.77,0.321,0.119,12,24,3127.55,0.813,0
BW-01207,69913.06,605,87435.45,0.347,14,3,95,Business Expansion,Casino,Crypto Exchange,0,13,0.441,0.746,0.787,0.59,0.087,0.517,20,22,3039.7,0.813,1
BW-01208,47360.76,609,56682.61,0.135,3,6,38,Education,ATM Cash,Retail,0,13,0.103,0.247,0.234,0.127,0.42,0.37,14,31,1480.02,0.717,0
BW-01209,30994.53,687,82758.02,0.362,5,1,10,Equipment Purchase,Retail,Crypto Exchange,0,18,0.261,0.548,0.074,0.145,0.457,0.593,22,40,755.96,0.91,0
BW-01210,99726.83,588,96027.05,0.479,2,4,54,Education,Equipment Vendor,Retail,0,28,0.048,0.279,0.344,0.044,0.201,0.081,9,14,6648.46,0.602,0
BW-01211,45487.22,577,40396.17,0.434,6,7,114,Education,Crypto Exchange,Luxury Travel,0,5,0.56,0.945,0.433,0.945,0.412,0.214,25,44,1010.83,0.107,0
BW-01212,47881.77,598,116732.76,0.396,5,7,91,Equipment Purchase,Equipment Vendor,ATM Cash,0,12,0.751,0.905,0.279,0.059,0.125,0.187,12,12,3683.21,0.347,0
BW-01213,20544.26,674,119644.87,0.358,2,5,106,Education,Casino,Luxury Travel,0,17,0.196,0.556,0.194,0.423,0.07,0.528,24,33,604.24,0.379,0
BW-01214,80506.91,562,140839.57,0.262,3,3,6,Medical,Equipment Vendor,Retail,0,25,0.368,0.696,0.538,0.002,0.158,0.153,17,26,2981.74,0.565,0
BW-01215,70899.81,585,34375.48,0.253,9,2,6,Business Expansion,Retail,Crypto Exchange,0,14,0.017,0.272,0.302,0.034,0.171,0.212,16,16,4170.58,0.869,0
BW-01216,25973.11,650,111185.73,0.375,20,5,52,Debt Consolidation,Luxury Travel,Equipment Vendor,0,28,0.84,1.0,0.505,0.106,0.199,0.086,12,30,837.84,0.812,0
BW-01217,12826.2,831,37936.11,0.188,8,5,15,Equipment Purchase,Luxury Travel,ATM Cash,1,22,0.78,0.814,0.623,0.061,0.186,0.465,10,20,610.77,0.297,1
BW-01218,69647.43,635,135171.63,0.287,5,7,68,Medical,Crypto Exchange,Crypto Exchange,0,26,0.063,0.443,0.609,0.533,0.206,0.143,26,38,1785.83,0.541,0
BW-01219,67178.57,553,38359.2,0.278,19,0,57,Debt Consolidation,Crypto Exchange,Retail,0,6,0.365,0.408,0.3,0.821,0.355,0.041,2,18,3535.71,0.66,0
BW-01220,30959.66,772,166759.18,0.423,10,4,112,Debt Consolidation,Equipment Vendor,Crypto Exchange,0,26,0.955,1.0,0.454,0.138,0.123,0.261,3,22,1346.07,0.939,0
BW-01221,95332.04,715,135312.39,0.137,6,0,118,Debt Consolidation,Crypto Exchange,Casino,0,18,0.392,0.524,0.36,0.46,0.009,0.235,27,44,2118.49,0.127,0
BW-01222,19350.5,827,106108.46,0.556,17,0,56,Education,ATM Cash,Crypto Exchange,0,29,0.526,0.698,0.697,0.041,0.245,0.107,5,8,2150.06,0.494,0
BW-01223,46071.81,679,96225.59,0.409,3,1,104,Education,Retail,Luxury Travel,0,16,0.355,0.599,0.703,0.137,0.224,0.08,16,30,1486.19,0.94,0
BW-01224,94643.51,580,49600.89,0.469,4,5,7,Education,Casino,Luxury Travel,0,8,0.596,0.96,0.275,0.426,0.03,0.538,21,22,4114.94,0.931,0
BW-01225,44874.1,560,73649.91,0.487,3,7,51,Education,Casino,Casino,0,10,0.978,1.0,0.073,0.418,0.067,0.041,13,18,2361.79,0.381,0
BW-01226,65659.97,645,160343.87,0.26,3,4,58,Medical,Equipment Vendor,ATM Cash,0,4,0.998,1.0,0.134,0.092,0.255,0.06,26,34,1876.0,0.1,0
BW-01227,42771.47,739,165667.92,0.359,12,0,113,Education,Casino,Crypto Exchange,0,1,0.775,1.0,0.294,0.579,0.117,0.147,24,34,1222.04,0.599,0
BW-01228,31050.44,741,30112.16,0.626,15,7,117,Equipment Purchase,Equipment Vendor,ATM Cash,0,14,0.404,0.468,0.451,0.106,0.439,0.572,18,37,817.12,0.837,0
BW-01229,98477.88,815,119120.46,0.522,24,7,64,Debt Consolidation,Crypto Exchange,Equipment Vendor,0,23,0.494,0.57,0.525,0.873,0.087,0.051,2,17,5470.99,0.376,0
BW-01230,43886.73,677,137895.09,0.633,13,7,109,Medical,Crypto Exchange,Crypto Exchange,0,11,0.357,0.643,0.265,0.697,0.01,0.49,24,31,1371.46,0.894,0
BW-01231,89939.42,787,122812.05,0.51,10,2,111,Education,ATM Cash,Luxury Travel,0,9,0.986,1.0,0.534,0.026,0.224,0.535,1,17,4996.63,0.383,0
BW-01232,26845.69,661,42251.96,0.197,1,3,26,Debt Consolidation,ATM Cash,Luxury Travel,0,9,0.708,0.9,0.75,0.094,0.493,0.227,9,12,2065.05,0.619,0
BW-01233,25244.95,694,62658.73,0.135,21,7,58,Medical,Retail,ATM Cash,0,19,0.449,0.508,0.522,0.027,0.317,0.176,18,24,1009.8,0.714,0
BW-01234,7957.74,614,67551.04,0.418,13,6,31,Debt Consolidation,Casino,Retail,0,10,0.012,0.185,0.127,0.475,0.177,0.406,28,38,204.04,0.394,0
BW-01235,66908.35,796,154758.69,0.297,23,4,66,Medical,ATM Cash,Luxury Travel,0,9,0.52,0.82,0.464,0.101,0.008,0.422,5,15,4181.77,0.399,0
BW-01236,40010.0,772,99479.92,0.252,23,1,92,Business Expansion,Retail,Retail,0,27,0.984,1.0,0.434,0.014,0.242,0.468,3,13,2857.86,0.499,0
BW-01237,87114.03,655,103024.23,0.544,6,4,106,Medical,Luxury Travel,Luxury Travel,0,6,0.523,0.588,0.697,0.028,0.103,0.498,5,19,4355.7,0.81,0
BW-01238,49954.94,730,170233.96,0.302,10,5,13,Education,ATM Cash,Luxury Travel,0,13,0.182,0.283,0.28,0.1,0.324,0.161,12,16,2938.53,0.186,0
BW-01239,96978.38,733,125562.88,0.274,3,1,18,Debt Consolidation,Retail,Equipment Vendor,0,12,0.022,0.169,0.338,0.072,0.292,0.412,8,13,6927.03,0.637,0
BW-01240,22624.92,775,164800.16,0.567,6,3,94,Debt Consolidation,Equipment Vendor,Retail,0,4,0.355,0.383,0.479,0.11,0.133,0.081,8,12,1740.38,0.676,0
BW-01241,87519.2,814,98476.33,0.565,15,7,119,Debt Consolidation,Equipment Vendor,Retail,0,28,0.918,1.0,0.42,0.042,0.034,0.306,22,30,2823.2,0.574,0
BW-01242,78776.7,827,52415.44,0.296,5,2,75,Equipment Purchase,Retail,Luxury Travel,0,18,0.997,1.0,0.575,0.099,0.378,0.368,25,35,2188.24,0.895,0
BW-01243,78237.58,638,169490.34,0.558,5,0,13,Equipment Purchase,Crypto Exchange,Retail,1,9,0.945,0.97,0.032,0.408,0.293,0.097,7,9,7823.76,0.612,1
BW-01244,85254.41,725,98805.77,0.568,1,4,115,Education,Luxury Travel,Luxury Travel,0,7,0.729,0.89,0.451,0.082,0.421,0.046,2,21,3875.2,0.639,0
BW-01245,77297.28,567,57244.71,0.333,23,1,24,Business Expansion,Retail,Luxury Travel,0,17,0.558,0.724,0.097,0.144,0.13,0.117,1,4,15459.46,0.61,0
BW-01246,64490.93,655,75359.36,0.137,7,7,57,Equipment Purchase,ATM Cash,ATM Cash,1,0,0.591,0.725,0.252,0.094,0.326,0.252,24,38,1653.61,0.714,1
BW-01247,17468.26,820,37620.39,0.101,6,3,29,Medical,Crypto Exchange,Crypto Exchange,0,4,0.539,0.762,0.529,0.615,0.059,0.533,1,18,919.38,0.215,0
BW-01248,8089.99,716,100245.09,0.388,24,0,56,Education,Retail,Retail,0,10,0.707,0.845,0.126,0.148,0.146,0.319,8,12,622.31,0.86,0
BW-01249,92480.55,562,157969.23,0.289,23,6,54,Business Expansion,Casino,Casino,0,19,0.419,0.586,0.247,0.734,0.328,0.449,28,38,2371.3,0.136,0
BW-01250,63581.78,581,170037.07,0.648,13,3,5,Medical,ATM Cash,ATM Cash,0,10,0.669,0.988,0.562,0.108,0.413,0.104,25,35,1766.16,0.645,0
BW-01251,80671.04,589,169890.33,0.525,8,2,35,Debt Consolidation,ATM Cash,Retail,0,15,0.122,0.187,0.521,0.08,0.16,0.064,17,20,3841.48,0.623,0
BW-01252,50744.62,697,48784.5,0.519,14,0,19,Equipment Purchase,Equipment Vendor,Retail,0,9,0.266,0.514,0.073,0.044,0.399,0.144,23,38,1301.14,0.277,0
BW-01253,16144.28,767,87308.08,0.625,24,0,55,Medical,Casino,Equipment Vendor,0,14,0.836,1.0,0.462,0.995,0.339,0.188,5,15,1009.02,0.135,1
BW-01254,16892.65,768,34234.31,0.588,21,6,77,Business Expansion,Casino,Casino,0,6,0.904,1.0,0.118,0.418,0.174,0.329,29,29,563.09,0.218,1
BW-01255,70128.7,631,158274.8,0.275,17,7,69,Education,ATM Cash,Casino,0,14,0.539,0.83,0.202,0.129,0.438,0.529,14,26,2597.36,0.331,0
BW-01256,45879.06,757,83813.36,0.191,11,0,44,Medical,Luxury Travel,Equipment Vendor,0,28,0.032,0.252,0.367,0.131,0.255,0.256,8,26,1699.22,0.85,0
BW-01257,24049.85,750,124667.55,0.51,22,1,78,Education,Crypto Exchange,Equipment Vendor,0,24,0.927,1.0,0.087,0.406,0.324,0.311,20,25,924.99,0.827,1
BW-01258,51701.48,587,137234.77,0.308,18,0,38,Debt Consolidation,Equipment Vendor,Retail,0,15,0.702,0.969,0.795,0.016,0.248,0.003,18,37,1360.57,0.154,0
BW-01259,11099.85,760,94476.7,0.36,12,3,62,Business Expansion,Casino,Crypto Exchange,0,5,0.414,0.735,0.132,0.473,0.226,0.02,23,41,264.28,0.346,0
BW-01260,60287.28,798,75966.35,0.447,6,1,22,Business Expansion,Equipment Vendor,Equipment Vendor,0,10,0.598,0.987,0.625,0.073,0.424,0.05,29,34,1722.49,0.856,0
BW-01261,30554.37,776,174331.94,0.599,24,0,73,Equipment Purchase,ATM Cash,Casino,1,16,0.43,0.682,0.664,0.066,0.147,0.419,7,19,1527.72,0.301,1
BW-01262,80768.11,597,174673.23,0.33,9,3,113,Business Expansion,Crypto Exchange,Casino,0,14,0.465,0.815,0.796,0.617,0.018,0.292,24,34,2307.66,0.947,1
BW-01263,34484.39,567,73415.46,0.531,9,3,40,Medical,Retail,Retail,0,15,0.887,0.887,0.343,0.055,0.44,0.116,14,32,1044.98,0.318,0
BW-01264,48245.91,844,101943.76,0.248,1,4,26,Medical,Casino,Crypto Exchange,0,23,0.161,0.373,0.699,0.616,0.413,0.356,25,31,1507.68,0.728,0
BW-01265,6103.95,745,175926.62,0.484,13,3,109,Medical,Crypto Exchange,Luxury Travel,0,1,0.104,0.19,0.766,0.732,0.183,0.327,14,25,234.77,0.455,0
BW-01266,11882.45,736,30730.26,0.101,12,6,5,Debt Consolidation,Equipment Vendor,Equipment Vendor,0,3,0.003,0.041,0.138,0.07,0.093,0.053,6,21,540.11,0.216,0
BW-01267,42286.89,773,91901.74,0.579,21,5,93,Business Expansion,ATM Cash,Equipment Vendor,0,18,0.314,0.527,0.384,0.134,0.338,0.384,3,3,10571.72,0.317,0
BW-01268,50594.19,778,45068.63,0.117,5,2,54,Business Expansion,Crypto Exchange,Retail,0,5,0.147,0.446,0.048,0.912,0.039,0.46,21,35,1405.39,0.674,0
BW-01269,62001.95,626,106373.69,0.492,8,0,86,Medical,Retail,ATM Cash,0,17,0.22,0.385,0.497,0.087,0.212,0.172,14,26,2296.37,0.386,0
BW-01270,32707.94,737,33700.49,0.125,12,6,49,Equipment Purchase,Crypto Exchange,ATM Cash,1,20,0.011,0.279,0.465,0.705,0.043,0.412,14,23,1362.83,0.614,1
BW-01271,71023.28,819,91034.76,0.246,8,0,3,Equipment Purchase,ATM Cash,Crypto Exchange,1,10,0.227,0.423,0.163,0.113,0.299,0.12,3,20,3382.06,0.275,0
BW-01272,86711.63,644,63104.86,0.373,12,0,92,Business Expansion,Equipment Vendor,Casino,0,8,0.333,0.508,0.638,0.015,0.014,0.454,10,13,6193.69,0.481,0
BW-01273,79085.84,681,109996.25,0.331,4,3,38,Business Expansion,Casino,Casino,0,2,0.032,0.148,0.03,0.619,0.315,0.547,9,14,5272.39,0.535,0
BW-01274,8763.79,588,179399.05,0.206,13,3,14,Education,Casino,Luxury Travel,0,1,0.608,0.761,0.645,0.785,0.337,0.265,21,28,302.2,0.451,0
BW-01275,50648.16,621,150080.42,0.284,4,0,47,Business Expansion,Luxury Travel,Casino,0,17,0.569,0.709,0.021,0.027,0.244,0.147,7,26,1875.86,0.268,0
BW-01276,14968.37,830,156846.31,0.5,8,5,14,Medical,Equipment Vendor,ATM Cash,0,14,0.097,0.355,0.525,0.094,0.088,0.24,26,34,427.67,0.492,0
BW-01277,27994.28,709,125289.75,0.468,7,1,107,Debt Consolidation,Luxury Travel,ATM Cash,0,24,0.595,0.641,0.063,0.146,0.051,0.15,7,14,1866.29,0.689,0
BW-01278,98732.95,736,36233.98,0.139,6,1,75,Business Expansion,Luxury Travel,Equipment Vendor,0,21,0.999,1.0,0.201,0.078,0.157,0.001,7,24,3949.32,0.92,0
BW-01279,18537.08,740,61019.65,0.511,7,2,73,Business Expansion,ATM Cash,Luxury Travel,0,17,0.944,1.0,0.578,0.028,0.233,0.39,12,18,975.64,0.771,0
BW-01280,52394.37,669,168759.68,0.129,21,4,38,Medical,ATM Cash,Crypto Exchange,0,18,0.003,0.222,0.224,0.048,0.321,0.026,26,44,1164.32,0.237,0
BW-01281,63724.79,769,84916.97,0.399,2,7,64,Education,ATM Cash,Luxury Travel,0,14,0.795,0.967,0.409,0.124,0.001,0.126,4,21,2896.58,0.332,0
BW-01282,71734.17,602,45545.51,0.243,22,6,111,Business Expansion,Retail,Crypto Exchange,0,29,0.354,0.415,0.732,0.053,0.356,0.433,20,20,3415.91,0.167,0
BW-01283,58166.62,771,135360.8,0.423,23,2,44,Equipment Purchase,Equipment Vendor,ATM Cash,0,16,0.064,0.228,0.04,0.109,0.356,0.399,13,23,2423.61,0.215,0
BW-01284,5928.23,680,74918.66,0.244,14,7,70,Equipment Purchase,Casino,Casino,1,17,0.296,0.612,0.649,0.764,0.222,0.044,3,11,494.02,0.313,1
BW-01285,36013.82,786,70328.54,0.642,7,0,65,Equipment Purchase,Equipment Vendor,Retail,0,17,0.322,0.678,0.052,0.075,0.172,0.396,20,29,1200.46,0.27,0
BW-01286,54182.61,795,179696.62,0.27,0,6,25,Debt Consolidation,ATM Cash,Luxury Travel,0,10,0.523,0.804,0.101,0.117,0.421,0.558,9,18,2851.72,0.282,0
BW-01287,13347.32,775,158720.84,0.233,6,0,16,Debt Consolidation,Retail,Luxury Travel,0,17,0.661,0.685,0.095,0.048,0.392,0.045,21,21,606.7,0.296,0
BW-01288,38309.56,757,91190.67,0.253,18,0,116,Business Expansion,Equipment Vendor,Equipment Vendor,0,22,0.749,1.0,0.795,0.077,0.492,0.249,22,38,982.3,0.356,0
BW-01289,8154.3,645,177039.18,0.593,1,4,15,Business Expansion,Equipment Vendor,Equipment Vendor,0,2,0.246,0.342,0.144,0.103,0.186,0.438,20,31,254.82,0.207,0
BW-01290,12464.96,749,127516.98,0.45,13,3,98,Business Expansion,Luxury Travel,ATM Cash,0,12,0.322,0.448,0.717,0.025,0.453,0.401,13,24,498.6,0.336,0
BW-01291,42707.71,796,141303.37,0.502,17,4,81,Debt Consolidation,Equipment Vendor,Crypto Exchange,0,13,0.308,0.386,0.793,0.041,0.044,0.136,1,19,2135.39,0.685,0
BW-01292,17608.0,621,34726.96,0.605,14,2,3,Business Expansion,Luxury Travel,Retail,0,26,0.363,0.673,0.307,0.098,0.206,0.098,29,45,382.78,0.301,0
BW-01293,58916.38,734,48240.79,0.602,13,3,67,Medical,Luxury Travel,Equipment Vendor,0,3,1.0,1.0,0.505,0.098,0.233,0.471,23,29,1963.88,0.246,0
BW-01294,70499.17,555,124962.77,0.506,23,3,37,Education,Crypto Exchange,Equipment Vendor,0,17,0.778,1.0,0.623,0.823,0.22,0.574,29,39,1762.48,0.158,0
BW-01295,81055.74,755,164853.6,0.209,24,2,81,Equipment Purchase,ATM Cash,Casino,1,4,0.975,1.0,0.314,0.119,0.313,0.461,23,24,3242.23,0.525,1
BW-01296,24014.27,581,123561.56,0.564,18,3,55,Equipment Purchase,Retail,Casino,0,13,0.693,0.788,0.129,0.072,0.085,0.578,6,21,1091.56,0.816,0
BW-01297,20910.85,648,50103.73,0.212,18,6,113,Medical,Luxury Travel,ATM Cash,0,24,0.406,0.584,0.347,0.132,0.433,0.363,20,28,721.06,0.15,0
